Description,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Total
ACE OHLSSON - CAMPBELLTOWN,1286,0,7846,7492,6688,3720,7874,0,0,0,0,0,34905
ACE OHLSSON - CUDGEGONG,0,0,0,29952,13376,0,0,0,0,0,0,0,43328
ACE OHLSSON - HEATHERBRAE,3644,0,34300,34540,14616,0,0,0,0,0,0,0,87100
ACE OHLSSON - MCGRATHS HILL,6371,0,11117,10738,12896,0,3609,13934,0,6688,0,0,65354
ACE OHLSSON - SYD MARKETS,21454,26980,72061,28038,20902,23108,5583,0,6160,10720,0,43070,258076
ACE OHLSSON - WOOLGOOLGA,16000,0,0,0,0,0,14180,0,0,0,5076,0,35256
ACE OHLSSON BANGALOW ,0,0,0,0,19828,6688,0,0,0,0,0,224,26740
ADVANCED NUTRIENTS PTY LTD,44800,45160,50300,95700,0,0,560000,0,0,43000,43600,43600,926160
AG PLUS CONSULTANCY,0,29400,0,31071,29400,1029,11992,0,0,0,0,114,103006
AGRIWEST - WINDSOR,0,0,0,0,0,0,0,0,0,2158,6048,2053,10260
AXICHEM PTY LTD,0,9387,0,0,3496,660,0,0,9120,0,0,0,22663
BURDEKIN GROWER SERVICES,6653,5704,11022,2874,-328,3377,0,1566,0,1230,1691,0,33789
DGL MANUFACTURING ,0,8250,0,8250,4720,8250,0,4720,9440,3590,0,0,47220
DLF SEEDS,8528,0,0,0,0,0,0,0,0,0,8628,0,17156
E.E. MUIR & SONS - BRANDON,0,0,3430,0,0,3250,0,0,0,0,0,3582,10262
ECO-GLOBAL CROP SOLUTIONS,0,94168,0,0,0,0,0,0,55152,0,0,54857,204177
ELDERS - BARMERA,0,0,0,0,0,94440,0,0,0,0,0,0,94440
ELDERS - EMERALD,0,0,0,0,0,0,60960,0,0,0,0,0,60960
EMAHO TREES - JAMES MCGOECH,266,0,0,0,0,1531,0,200492,17980,0,10253,30756,261278
FARMCRAFT - COOPERS PLAINS ,549,0,1487,1689,0,1926,0,0,1530,1039,0,2006,10226
FARMCRAFT PTY LTD - LOWOOD,2064,1057,1625,0,3260,0,995,2364,0,3658,0,1029,16052
GREENSHED NEW ZEALAND,16384,0,28856,14190,0,18600,11372,122253,,0,0,3040,128650
LINDSAY RURAL - ACACIA RIDGE,10836,19053,0,0,0,0,703,324,0,0,129,0,31046
LIVING TURF - HALLAM,2802,6250,5643,12743,21866,0,9637,18118,3280,3300,9220,2852,95711
LIVING TURF - MARRICKVILLE,15058,15217,23491,26154,23519,23165,40708,127952,24274,15669,11037,28964,375209
LIVING TURF - WACOL,20503,17856,15768,9462,6232,14341,27327,14844,11056,21231,9703,20494,188817
LIVING TURF - WOODVILLE,3360,9730,0,0,6242,0,9157,3078,6554,16935,0,10920,65977
MCGREGOR GOURLAY - ALSTONVILLE,0,0,4230,0,4318,0,3612,3635,7691,4277,0,4208,31972
MCGREGOR GOURLAY - BELLATA,25120,29100,14400,0,0,0,0,0,0,0,0,0,68620
NEWDEGATE STOCK & TRADING  ,11282,106,0,0,0,0,0,0,0,3045,7090,0,21523
NUTRIEN - AYR,7851,0,31164,0,0,0,0,0,0,0,0,0,39015
NUTRIEN - CLERMONT,0,0,0,0,0,232200,0,0,0,73080,0,0,305280
NUTRIEN - GOONDIWINDI,0,0,0,26600,0,0,0,0,0,0,0,0,26600
NUTRIEN - MURGON ,0,0,2879,0,0,7650,0,0,0,0,0,0,10529
NUTRIEN - SPRINGSURE ,21616,0,0,2862,0,0,0,0,0,5718,0,0,30196
NUTRIEN AG SOLUTIONS - GATTON,2213,0,0,0,2224,0,0,0,2224,0,12017,0,18678
NUTRIEN AG SOLUTIONS - GYMPIE,0,0,0,0,7090,0,786,2325,0,0,0,0,10201
OASIS PACIFIC PTY LTD,6250,45822,130490,52006,11404,75301,93203,27398,48168,34444,41080,12872,578438
PLATINUM AG - RENMARK,0,0,0,0,0,52848,0,0,0,0,0,0,52848
PLATINUM AG SERVICES,0,0,0,0,44220,132940,0,0,0,0,0,0,177160
TERRALIFT AUSTRALIA,0,6539,0,5856,0,0,0,0,0,0,5950,0,18345
TOM GRADY RURAL MERCHANDISE,0,0,0,0,0,1557,0,0,0,8647,0,1307,11511
TURFCARE - CABOOLTURE,0,0,0,0,0,0,0,0,20652,7848,0,13435,41935
TURFCARE - DANDENONG,0,19450,25972,34252,3930,9824,85549,20603,18337,3010,9857,0,230785
UPL NEW ZEALAND ,38736,0,0,0,0,0,0,0,0,0,0,0,38736
WOOD AG PTY LTD,6860,35422,17460,0,1014,33220,0,484,0,1451,6846,0,102756
WORLD SEARCH,0,0,0,0,0,0,0,0,13710,0,0,0,13710
,,,,,,,,,,,,,
,300486,424651,493541,434469,260913,749625,947247,564090,255328,270738,188225,279383,5082656
